title,category
김행 후보자  민주당 묻지마 고발 환영 당당히 수사 응할 것 ,Politics
 이재명  법카유용 알았을 것  권익위  대검에 사건 이첩,Politics
   이 팔 분쟁 확대 가능성  정부  리스크 관리 철저히  종합 ,Politics
신원식   도발 감시 허술해져  한국  이스라엘보다 위험한 상황 ,Politics
 XX하고 자빠져  막말 논란 휩싸인    민주 공세에 내놓은 답은 ,Politics
국민의힘 이용호  김행  대통령 부담 덜어주는 것도 하나의 길 ,Politics
이동관  공영방송 못 건드릴 금자탑인가 민영화 있을 수 있어 ,Politics
이스라엘 체류 국민    명 오늘 귀국길    외교부  잔류 국민에 출국 안내 중 ,Politics
파행 막말 불통 결국 마지막까지  난장판 국감 ,Politics
감사원   정부  전기 가스요금  동결  미래 소비자에 부담 전가 ,Politics
김승연 한화 회장  창업 시대의 야성 필요 ,Economy
현대차그룹   부산엑스포 유치  총력 지원 정의선 회장도 직접 나서,Economy
카뱅  동남아시장 손 뻗는다 인니 슈퍼뱅크에     투자,Economy
 속보  LG전자   분기 영업이익     억원  어닝 서프라이즈 ,Economy
CJ제일제당  셀렉타 지분 전량 매각,Economy
민간자본 벤처기업에 유입  투자 빙하기  녹인다,Economy
신형 쏘렌토 출고 더 늦어지나  기아 노조 특근 거부,Economy
      로보월드에서 만나요  한국로봇산업진흥원  로봇활용 표준공정모델 공동홍보관 운영,Economy
빚투 영끌로 진 국민 빚  년 새    조 원,Economy
LG화학  도요타에      규모 양극재 공급,Economy
공통과목으로만 치러지는 수능  변별력 약화 선택수업 파행 극복이 숙제,Social
서울대  본고사 부활 없다  입시안 큰 변화 없을 것 ,Social
성남시   낡고 위험한  탄천   개 교량 재가설 보강공사 착수,Social
 돈봉투 의혹  윤관석 첫 공판 금품 제공 지시 부인,Social
반도체 불모지 광주 전남   패키징 에 집중해야 ,Social
부산 기장에 국내 최대   만 천  규모 반려동물 테마파크,Social
 검찰 수사권 확대  수사준칙 개정안 국무회의 통과     월 시행,Social
 현실판 더글로리  학폭 피해자 표예림 씨 숨진 채 발견,Social
모텔방에 놓인  수상한 공유기  남녀    명 찍혔다,Social
 도마에 백색 가루가   다국적 마약조직   명 구속,Social
아흔여섯  현역  김남조 시인 별세  시는 평생 날 이기기만 해 ,Culture
한국출판공로상 특별공로상에 박민권 전 문체부 차관,Culture
김홍신  이념갈등 여전히 심각 용서안하면 자신까지 죽여 ,Culture
일교차      도로 커 아침 기온     도 내일날씨 ,Culture
많이 왔지만 다 온 건 아니다 SDV 고도화   시장 재기 과제 정의선 취임  년 ,Culture
 완연한 가을  큰 일교차 내륙지역 안개 주의 날씨 ,Culture
 내일도 큰 일교차 청명한 가을 하늘 뉴스  날씨 ,Culture
  일 KBS 임시이사회 신임 사장 임명제청 여부 결정,Culture
이스라엘 하마스 전쟁 가짜 뉴스 확산  엑스 가장 심해 ,World
난감한 사우디 팔레스타인 지지도  이스라엘 지지도 쉽지않아,World
 하버드 학생 모임 연판장 팔레스타인 옹호 선배들  뭐가 잘못됐길래  ,World
 영상  파리 빈대 런던으로 거처 옮겼나  런던 지하철에서도  슬금슬금 ,World
노벨 경제학상 수상자 골딘  성별 격차 여전히 문제 ,World
중국 비구이위안  채무 못 갚아  디폴트 현실화되나 ,World
바이든  이스라엘 위해 군사자산 추가 투입 준비돼 ,World
이스라엘 방위군  가자지구 전면 침공 임박 네타냐후  협상 여지 없어 ,World
이스라엘 가자 사망자     명 넘어 부상자도  천명,World
이스라엘  레바논 남부 헬기 공습 헤즈볼라 조준,World
 카카오 운영 다음  댓글에  대깨문 은 가리면서  닭근혜   쥐명박   굥 은 방치 ,IT
 관련 규정 몰랐다  과학 유튜버  궤도    겸직 규정  어겨 징계 불가피,IT
GS리테일  카카오와 맞손  온 오프라인 시너지 확대 ,IT
원료 채취부터 폐기까지   제품 생애주기  탄소여권  나온다,IT
AWS    클라우드 인프라에  조    억 투자한다,IT
